invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,day_name,month_name,year,shift
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-01-05,13:08:00,Ewallet,9.1,0.48,522.8299999999999,Saturday,January,2019,Afternoon
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-03-08,10:29:00,Cash,9.6,0.48,76.39999999999999,Friday,March,2019,Morning
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,324.31,Sunday,March,2019,Afternoon
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,Sunday,January,2019,Evening
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-02-08,10:37:00,Ewallet,5.3,0.48,604.1700000000001,Friday,February,2019,Morning
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,Monday,March,2019,Evening
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,Monday,February,2019,Afternoon
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6,Sunday,February,2019,Morning
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-01-10,17:15:00,Credit card,7.2,0.33,72.52,Thursday,January,2019,Evening
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,164.52,Wednesday,February,2019,Afternoon
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-02-06,18:07:00,Ewallet,4.5,0.48,57.92,Wednesday,February,2019,Evening
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-03-09,17:03:00,Cash,6.8,0.48,102.04,Saturday,March,2019,Evening
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-02-12,10:25:00,Ewallet,7.1,0.48,234.75,Tuesday,February,2019,Morning
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-02-07,16:48:00,Ewallet,8.2,0.48,431.9,Thursday,February,2019,Afternoon
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8,Friday,March,2019,Evening
